YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21,WV03
1969,9,6,50.0,50.0,,,,,,,1530.0,13.0,67.0,,,,0.0,0.0,,91.03999999999999,66.92,510.0,170.0,,,,,72.0,,,103.0,1.0,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,
1969,9,7,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1969,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,99.0,,,,,,,,,,,
1969,9,9,40.0,50.0,,,,,,,1500.0,0.0,65.0,,,,0.0,0.0,,91.03999999999999,71.06,492.0,140.0,,,135.0,,67.0,,,87.0,1.0,-9999.0,1.0,,,,,1.0,,,,,,,-9999.0,,,,
1969,9,10,,,,,,,,,,0.0,,,,,0.0,0.0,,32.0,32.0,,,,,,,,,,,,-9.0,,,,,,,,,,,,,-9.0,,,,
1969,9,11,10.0,20.0,,,,,,,124.0,0.0,92.0,,,,0.0,0.0,,91.94,71.06,696.0,120.0,,,,,54.0,,,72.0,1.0,999.0,999.0,,,,,1.0,,,,,,,999.0,,,,
1969,9,12,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,-999.0,-999.0,,,,,,,,,,,,-999.0,,,,
1969,9,14,30.0,40.0,,,,,,,1406.0,0.0,78.0,,,,0.0,0.0,,89.96000000000001,69.08,588.0,90.0,,,,,63.0,,,93.0,9999.0,9999.0,9999.0,,,,,9999.0,,,,,,,9999.0,,,,
1969,9,15,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,-99.0,-99.0,-99.0,,,,,,,,,,,,-99.0,,,,
1969,9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,99.0,99.0,,,,,,,,,,,,99.0,,,,
1969,9,17,80.0,80.0,,,,,,,1124.0,0.0,41.0,,,,0.0,0.0,,82.94,64.04,306.0,40.0,,,90.0,,54.0,,,87.0,-9999.0,-9999.0,-9999.0,,,,,-9999.0,,,,,,,1.0,,,,
1969,9,18,,,,,,,,,,,,,,,0.0,0.0,,32.0,32.0,,,,,,,,,,,,-9.0,-9.0,,,,,-9.0,,,,,,,,,,,
1969,9,19,20.0,0.0,,,,,,,218.0,0.0,99.0,,,,0.0,0.0,,84.02,60.08,738.0,130.0,,,,,54.0,,,82.0,1.0,999.0,999.0,,,,,999.0,,,,,,,999.0,,,,
1969,9,20,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,-999.0,-999.0,,,,,,,,,,,,-999.0,,,,
1969,9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,
1969,9,22,70.0,70.0,,,,,,,1112.0,,43.0,,,,0.0,0.0,,89.96000000000001,68.0,318.0,130.0,,,,,67.0,,,93.0,1.0,9999.0,9999.0,,,,,1.0,,,,,,,1.0,,,,
1969,9,23,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,,,,,,,
1969,9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,
1969,9,25,50.0,50.0,,,,,,,1430.0,0.0,81.0,,,,0.0,0.0,,91.94,71.06,600.0,210.0,,,180.0,,54.0,,,87.0,1.0,-9999.0,1.0,,,,,1.0,,,,,,,-9999.0,,,,
1969,9,26,,,,,,,,,,0.0,,,,,0.0,0.0,,32.0,32.0,,,,,,,,,,,,-9.0,0.0,,,,,,,,,,,,,,,,
1969,9,27,80.0,90.0,,,,,,,624.0,3.0,27.0,,,,0.0,0.0,,89.06,69.98,198.0,160.0,,,,,54.0,,,82.0,1.0,999.0,1.0,,,,,1.0,,,,,,,1.0,,,,
1969,9,28,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,-999.0,,,,,,,,,,,,,,,,,
1969,9,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,
1969,9,30,70.0,70.0,,,,,,,1100.0,61.0,58.0,,,,0.0,0.0,,87.98,71.06,426.0,100.0,,,,,72.0,,,103.0,9999.0,9999.0,1.0,,,,,9999.0,,,,,,,1.0,,,,
1969,9,31,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,-99.0,-99.0,0.0,,,,,-99.0,,,,,,,,,,,
1969,10,1,10.0,10.0,,,,,,,1806.0,0.0,97.0,,,,0.0,0.0,,89.06,57.92,696.0,180.0,,,158.0,,36.0,,,46.0,1.0,-9999.0,-9999.0,,,,,1.0,,,,,,,-9999.0,,,,
1969,10,2,,,,,,,,,,0.0,,,,,0.0,0.0,,32.0,32.0,,,,,,,,,,,,-9.0,-9.0,,,,,,,,,,,,-9.0,,,,
1969,10,3,50.0,80.0,,,,,,,218.0,0.0,90.0,,,,0.0,0.0,,91.03999999999999,60.980000000000004,642.0,160.0,,,,,67.0,,,77.0,1.0,999.0,999.0,,,,,1.0,,,,,,,999.0,,,,
1969,10,4,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,-999.0,,,,,,,,,,,,,,,,,
1969,10,6,60.0,70.0,,,,,,,1230.0,51.0,51.0,,,,0.0,0.0,,86.0,69.98,360.0,130.0,,,,,80.0,,,113.0,1.0,9999.0,9999.0,,,,,1.0,,,,,,,1.0,,,,
1969,10,7,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,-99.0,-99.0,,,,,,,,,,,,,,,,
1969,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,99.0,,,,,,,,,,,,99.0,,,,
1969,10,9,70.0,80.0,,,,,,,1954.0,0.0,53.0,,,,0.0,0.0,,89.06,69.08,372.0,100.0,,,315.0,,40.0,,,51.0,1.0,-9999.0,-9999.0,,,,,1.0,,,,,,,-9999.0,,,,
1969,10,10,,,,,,,,,,0.0,,,,,0.0,0.0,,32.0,32.0,,,,,,,,,,,,-9.0,-9.0,,,,,,,,,,,,-9.0,,,,
