YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03,WV20
1949,10,17,,,,,,,,,,,,,,,,,60.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,10,25,,,,,,,,,,,,,,,,,48.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,11,1,,,,,,,,,,,,,,,,,35.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,11,9,,,,,,,,,,,,,,,,,42.980000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,11,17,,,,,,,,,,,,,,,,,49.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,11,25,,,,,,,,,,,,,,,,,33.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,12,1,,,,,,,,,,,,,,,,,30.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,12,9,,,,,,,,,,,,,,,,,30.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,12,17,,,,,,,,,,,,,,,,,49.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,12,25,,,,,,,,,,,,,,,,,24.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,1,1,,,,,,,,,,,,,,,,,44.239999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,1,9,,,,,,,,,,,,,,,,,23.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,1,17,,,,,,,,,,,,,,,,,21.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,1,25,,,,,,,,,,,,,,,,,13.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,2,1,,,,,,,,,,,,,,,,,22.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,2,9,,,,,,,,,,,,,,,,,37.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,2,17,,,,,,,,,,,,,,,,,31.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,2,25,,,,,,,,,,,,,,,,,24.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,3,1,,,,,,,,,,,,,,,,,22.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,3,9,,,,,,,,,,,,,,,,,37.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,3,17,,,,,,,,,,,,,,,,,33.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,3,25,,,,,,,,,,,,,,,,,29.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,4,1,,,,,,,,,,,,,,,,,41.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,4,9,,,,,,,,,,,,,,,,,31.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,4,17,,,,,,,,,,,,,,,,,41.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,4,25,,,,,,,,,,,,,,,,,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,5,1,,,,,,,,,,,,,,,,,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,5,9,,,,,,,,,,,,,,,,,61.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,5,17,,,,,,,,,,,,,,,,,55.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,5,25,,,,,,,,,,,,,,,,,47.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,6,1,,,,,,,,,,,,,,,,,64.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,6,9,,,,,,,,,,,,,,,,,70.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,6,17,,,,,,,,,,,,,,,,,63.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,6,25,,,,,,,,,,,,,,,,,76.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,7,1,,,,,,,,,,,,,,,,,63.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,7,9,,,,,,,,,,,,,,,,,65.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,7,17,,,,,,,,,,,,,,,,,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,7,25,,,,,,,,,,,,,,,,,75.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,8,1,,,,,,,,,,,,,,,,,74.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,8,9,,,,,,,,,,,,,,,,,65.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,8,17,,,,,,,,,,,,,,,,,64.75999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
