YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGB,FRGT,FRTH,GAHT,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,THIC,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03
1941,4,31,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,5,1,,,,,,,,,,,,,,23.0,,,,,0.0,0.0,,,48.92,39.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,5,2,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,5,3,,,,,,,,,,,,,,3.0,,,,,0.0,0.0,,,46.94,37.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,5,4,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,5,6,,,,,,,,,,,,,,,,,,,0.0,0.0,,,68.0,33.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,5,7,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,5,9,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,69.98,35.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,5,10,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,5,11,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,71.06,48.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,5,12,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,5,14,,,,,,,,,,,,,,53.0,,,,,0.0,0.0,,,69.98,42.980000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,5,15,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,5,17,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,62.959999999999994,37.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,5,18,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,5,19,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,60.08,35.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,5,20,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,5,22,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,62.059999999999995,35.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
