YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,DAPR,FMTM,MDPR,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03,WV07,WV20
1952,9,11,,,,,,,,,,,,0.0,,,,,,,,51.98,30.92,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,14,,,,,,,,,,,,130.0,,,,,,,,48.02,41.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,15,,,,,,,,,,,,0.0,,,,,,,,,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,17,,,,,,,,,,,,0.0,,,,,,,,57.02,41.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,18,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,19,,,,,,,,,,,,,,,,,,,,53.06,39.92,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,22,,,,,,,,,,,,,,,,,,,,53.96,39.02,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,23,,,,,,,,,,,,0.0,,,,,,,,,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,25,,,,,,,,,,,,0.0,,,,,,,,57.02,39.02,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,26,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,27,,,,,,,,,,,,15.0,,,,,,,,51.08,41.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,30,,,,,,,,,,,,0.0,,,,,,,,55.04,33.08,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,31,,,,,,,,,,,,,,,,,,,,,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,10,1,,,,,,,,-9999.0,,-9999.0,,0.0,,,,,,,,53.96,35.06,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,10,2,,,,,,,,-9.0,,-9.0,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,10,3,,,,,,,,999.0,,999.0,,,,,,,,,,48.92,37.94,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,10,4,,,,,,,,-999.0,,-999.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,10,5,,,,,,,,,,,,,,,,,,,,,33.62,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,10,6,,,,,,,,9999.0,,9999.0,,10.0,,,,,,,,1831.8200000000002,41.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,10,7,,,,,,,,-99.0,,-99.0,,0.0,,,,,,,,32.18,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,10,8,,,,,,,,99.0,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,10,9,,,,,,,,-9999.0,,-9999.0,,30.0,,,,,,,,51.98,39.02,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,10,10,,,,,,,,-9.0,,-9.0,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,10,11,,,,,,,,999.0,,999.0,,25.0,,,,,,,,51.98,39.92,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,10,12,,,,,,,,-999.0,,-999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,10,14,,,,,,,,9999.0,,9999.0,,,,,,,,,,51.98,33.08,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,10,15,,,,,,,,-99.0,,-99.0,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,10,16,,,,,,,,99.0,,99.0,,99.0,,,,,,,,49.82,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
