YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGT,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,THIC,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03,WV20
1948,3,19,,,,,,,,,,,15.0,,,,,0.0,0.0,,,60.08,37.04,,,,,,,,,,,,,999.0,,,999.0,999.0,,,999.0,,,,,,1.0,,999.0,,,,,,
1948,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,-999.0,-999.0,,,,,,,,,,,-999.0,,,,,,
1948,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
1948,3,22,,,,,,,,,,,0.0,,,,,0.0,0.0,,,51.98,33.98,,,,,,,,,,,,,1.0,,,9999.0,9999.0,,,1.0,,,,,,9999.0,,9999.0,,,,,,
1948,3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,-99.0,,,,,,,,,,,-99.0,,,,,,
1948,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,99.0,99.0,,,99.0,,,,,,,,99.0,,,,,,
1948,3,25,,,,,,,,,,,0.0,,,,,0.0,0.0,,,50.0,33.08,,,,,,,,,,,,,1.0,,,-9999.0,-9999.0,,,1.0,,,,,,-9999.0,,-9999.0,,,,,,
1948,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,-9.0,,,,,,,,,,,-9.0,,,,,,
1948,3,27,,,,,,,,,,,3.0,,,,,0.0,0.0,,,50.0,35.96,,,,,,,,,,,,,999.0,,,999.0,999.0,,,1.0,,,,,,1.0,,999.0,,,,,,
1948,3,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,-999.0,-999.0,,,,,,,,,,,-999.0,,,,,,
1948,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,
1948,3,30,,,,,,,,,,,,,,,,,0.0,,,46.94,33.08,,,,,,,,,,,,,9999.0,,,9999.0,9999.0,,,9999.0,,,,,,1.0,,1.0,,,,,,
1948,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,-99.0,-99.0,,,-99.0,,,,,,,,,,,,,,
1948,4,1,,,,,,,,,,,43.0,,,,,0.0,0.0,,,46.04,37.04,,,,,,,,,,,,,-9999.0,,-9999.0,,-9999.0,,,-9999.0,,,,,,1.0,,-9999.0,,,,,,
1948,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,-9.0,,,-9.0,,,,,,,,-9.0,,,,,,
1948,4,3,,,,,,,,,,,86.0,,,,,0.0,0.0,,,44.96,33.08,,,,,,,,,,,,,1.0,,999.0,,999.0,,,999.0,,,,,,1.0,,999.0,,,,,,
1948,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,-999.0,,,-999.0,,,,,,,,,,,,,,
1948,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,
1948,4,6,,,,,,,,,,,48.0,,,,,,,,,48.92,30.92,,,,,,,,,,,,,9999.0,,1.0,,9999.0,,,9999.0,,,,,,1.0,,1.0,,,,,,
1948,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,-99.0,,,-99.0,,,,,,,,,,,,,,
1948,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,99.0,,,99.0,,,,,,,,,,,,,,
1948,4,9,,,,,,,,,,,23.0,,,,,0.0,0.0,,,44.06,33.98,,,,,,,,,,,,,-9999.0,,-9999.0,,-9999.0,,,-9999.0,,,,,,1.0,,-9999.0,,,,,,
1948,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,-9.0,,,-9.0,,,,,,,,-9.0,,,,,,
1948,4,11,,,,,,,,,,,0.0,,,,,0.0,0.0,,,55.04,30.02,,,,,,,,,,,,,1.0,,999.0,,999.0,,,999.0,,,,,,999.0,,999.0,,,,,,
1948,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,-999.0,,,-999.0,,,,,,,,-999.0,,,,,,
1948,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,
1948,4,14,,,,,,,,,,,137.0,,,,,0.0,0.0,,,50.0,39.02,,,,,,,,,,,,,9999.0,,1.0,,9999.0,,,9999.0,,,,,,1.0,,9999.0,,,,,,
1948,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,-99.0,,,-99.0,,,,,,,,-99.0,,,,,,
1948,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,99.0,,99.0,,,99.0,,,,,,,,99.0,,,,,,
1948,4,17,,,,,,,,,,,0.0,,,,,0.0,0.0,,,51.08,37.94,,,,,,,,,,,,,-9999.0,,-9999.0,,-9999.0,,,-9999.0,,,,,,1.0,,-9999.0,,,,,,
1948,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,-9.0,,-9.0,,,-9.0,,,,,,,,-9.0,,,,,,
1948,4,19,,,,,,,,,,,8.0,,,,,0.0,0.0,,,50.0,39.02,,,,,,,,,,,,,999.0,,999.0,,999.0,,,999.0,,,,,,1.0,,999.0,,,,,,
1948,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,-999.0,,,-999.0,,,,,,,,-999.0,,,,,,
1948,4,22,,,,,,,,,,,,,,,,0.0,0.0,,,62.959999999999994,42.08,,,,,,,,,,,,,9999.0,,9999.0,,9999.0,,,9999.0,,,,,,1.0,,9999.0,,,,,,
1948,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,-99.0,,,,,,,,,,,-99.0,,,,,,
1948,4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,99.0,,,,,,,,,,,99.0,,,,,,
1948,4,25,,,,,,,,,,,0.0,,,,,0.0,0.0,,,62.059999999999995,42.980000000000004,,,,,,,,,,,,,-9999.0,,-9999.0,,-9999.0,,,-9999.0,,,,,,1.0,,-9999.0,,,,,,
1948,4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,-9.0,,,-9.0,,,,,,,,-9.0,,,,,,
1948,4,27,,,,,,,,,,,94.0,,,,,0.0,0.0,,,53.96,44.06,,,,,,,,,,,,,1.0,,999.0,,999.0,,,999.0,,,,,,1.0,,999.0,,,,,,
1948,4,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,-999.0,,,,,,,,,,,-999.0,,,,,,
1948,4,30,,,,,,,,,,,0.0,,,,,0.0,0.0,,,60.980000000000004,37.04,,,,,,,,,,,,,9999.0,,9999.0,,9999.0,,,9999.0,,,,,,9999.0,,9999.0,,,,,,
1948,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,-99.0,,,,,,,,,-99.0,,-99.0,,,,,,
1948,5,1,,,,,,,,,,,3.0,,,,,0.0,0.0,,,57.92,37.94,,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,1.0,,,,,,,,
1948,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,-9.0,,,,,-9.0,,,,,,,,,,,,,,
1948,5,3,,,,,,,,,,,20.0,,,,,0.0,0.0,,,57.02,35.06,,,,,,,,,,,,,999.0,,999.0,,,,,999.0,,,,,,1.0,,,,,,,,
1948,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,,,-999.0,,,,,,,,,,,,,,
1948,5,6,,,,,,,,,,,,,,,,0.0,0.0,,,57.02,42.08,,,,,,,,,,,,,9999.0,,9999.0,,,,,9999.0,,,,,,1.0,,,,,,,,
1948,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,,,,,,,,,
1948,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,
1948,5,9,,,,,,,,,,,69.0,,,,,0.0,0.0,,,57.92,42.08,,,,,,,,,,,,,1.0,,-9999.0,,,,,-9999.0,,,,,,1.0,,,,,,,,
1948,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,,,,,,,,,,,,,,
1948,5,11,,,,,,,,,,,,,,,,0.0,0.0,,,59.0,39.92,,,,,,,,,,,,,999.0,,999.0,,,,,1.0,,,,,,1.0,,,,,,,,
1948,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,-999.0,,,,,,,,,,,,,,,,,,,
1948,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
1948,5,14,,,,,,,,,,,,,,,,0.0,0.0,,,51.98,41.0,,,,,,,,,,,,,9999.0,,9999.0,,,,,1.0,,,,,,1.0,,,,,,,,
1948,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,,,,,,,,,
1948,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,
1948,5,17,,,,,,,,,,,0.0,,,,,0.0,0.0,,,62.959999999999994,44.06,,,,,,,,,,,,,1.0,,-9999.0,,,,,1.0,,,,,,1.0,,,,,,,,
1948,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,,,,,,,,,,,,,,
1948,5,19,,,,,,,,,,,99.0,,,,,0.0,0.0,,,55.94,42.08,,,,,,,,,,,,,1.0,,999.0,,,,,1.0,,,,,,1.0,,,,,,,,
1948,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,,,,,,,,,,,,,,,,,
1948,5,22,,,,,,,,,,,8.0,,,,,0.0,0.0,,,57.92,42.980000000000004,,,,,,,,,,,,,9999.0,,9999.0,,,,,9999.0,,,,,,1.0,,,,,,,,
1948,5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,,,,,,,,,
1948,5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,99.0,,,,,,,,
1948,5,25,,,,,,,,,,,74.0,,,,,0.0,0.0,,,60.08,46.94,,,,,,,,,,,,,1.0,,-9999.0,,,,,1.0,,,,,,1.0,,,,,,,,
1948,5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,,,,,,,,,,,,,,
1948,5,27,,,,,,,,,,,0.0,,,,,0.0,0.0,,,62.059999999999995,42.980000000000004,,,,,,,,,,,,,999.0,,999.0,,,,,1.0,,,,,,999.0,,,,,,,,
1948,5,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,-999.0,,,,,,,,,,,,,,,,,,,
1948,5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
1948,5,30,,,,,,,,,,,25.0,,,,,0.0,0.0,,,60.08,39.92,,,,,,,,,,,,,9999.0,,9999.0,,,,,1.0,,,,,,1.0,,,,,,,,
1948,5,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,,,,,,,,,
1948,6,1,,,,,,,,,,,0.0,,,,,0.0,0.0,,,71.06,46.04,,,,,,,,,,,,,-9999.0,,,,,,,1.0,,,,,,-9999.0,,,,,,,,
1948,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,,,,,,,,,,,,,,,,
1948,6,3,,,,,,,,,,,,,,,,0.0,0.0,,,75.92,48.92,,,,,,,,,,,,,999.0,,,,,,,999.0,,,,,,1.0,,,,,,,,
1948,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,,,,,-999.0,,,,,,,,,,,,,,
1948,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
1948,6,6,,,,,,,,,,,0.0,,,,,0.0,0.0,,,69.98,48.92,,,,,,,,,,,,,9999.0,,,,,,,1.0,,,,,,9999.0,,,,,,,,
