YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGT,PGTM,PRCP,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,THIC,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21,WV01,WV03,WV20
1967,6,16,50.0,40.0,,,,,,,,1606.0,0.0,,,,0.0,0.0,,,71.06,51.08,,,,,315.0,315.0,,,,,144.0,130.0,1.0,,,,,,-9999.0,,,,,,1.0,,,,,
1967,6,17,40.0,40.0,,,,,,,,1542.0,0.0,,,,0.0,0.0,,,68.0,51.08,,,,,315.0,315.0,,,,,129.0,116.0,1.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,6,18,70.0,50.0,,,,,,,,1436.0,0.0,,,,0.0,0.0,,,69.08,53.96,,,,,203.0,203.0,,,,,139.0,130.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,6,19,80.0,70.0,,,,,,,,1524.0,0.0,,,,0.0,0.0,,,68.0,55.04,,,,,293.0,248.0,,,,,113.0,107.0,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1967,6,20,70.0,90.0,,,,,,,,1448.0,0.0,,,,0.0,0.0,,,62.059999999999995,53.06,,,,,293.0,293.0,,,,,139.0,125.0,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1967,6,21,0.0,0.0,,,,,,,,1800.0,0.0,,,,0.0,0.0,,,69.08,48.92,,,,,293.0,293.0,,,,,144.0,130.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,6,22,0.0,0.0,,,,,,,,1430.0,0.0,,,,0.0,0.0,,,68.0,51.08,,,,,270.0,270.0,,,,,200.0,174.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,6,23,30.0,10.0,,,,,,,,1506.0,0.0,,,,0.0,0.0,,,64.94,50.0,,,,,293.0,293.0,,,,,149.0,134.0,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1967,6,24,30.0,20.0,,,,,,,,1606.0,0.0,,,,0.0,0.0,,,71.06,51.98,,,,,315.0,315.0,,,,,144.0,125.0,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1967,6,25,40.0,30.0,,,,,,,,1448.0,0.0,,,,0.0,0.0,,,69.08,51.98,,,,,315.0,293.0,,,,,129.0,112.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,6,26,40.0,30.0,,,,,,,,1618.0,0.0,,,,0.0,0.0,,,69.98,51.98,,,,,293.0,315.0,,,,,113.0,107.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,6,27,20.0,10.0,,,,,,,,1642.0,0.0,,,,0.0,0.0,,,71.06,51.98,,,,,315.0,315.0,,,,,134.0,116.0,-9999.0,,,,,,1.0,,,,,,-9999.0,,,,,
1967,6,28,0.0,0.0,,,,,,,,1530.0,0.0,,,,0.0,0.0,,,77.0,51.98,,,,,315.0,315.0,,,,,129.0,112.0,-9999.0,,,,,,1.0,,,,,,-9999.0,,,,,
1967,6,29,0.0,0.0,,,,,,,,1724.0,0.0,,,,0.0,0.0,,,73.94,53.06,,,,,315.0,315.0,,,,,108.0,103.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,6,30,0.0,0.0,,,,,,,,1448.0,0.0,,,,0.0,0.0,,,75.92,55.04,,,,,315.0,315.0,,,,,123.0,103.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
